Time,Agent,Strat,Payoff,Run,Coop_list
1,76,0.6030415687865747,2,0,"{Agent27: 7, Agent4: 6, Agent66: 2, Agent45: -1, Agent20: 1, Agent96: 1, Agent68: 0, Agent79: 1, Agent28: 1, Agent72: 2, Agent89: 1}"
1,77,0.4414464873632643,1,0,"{Agent83: 3, Agent45: 1, Agent93: 4, Agent34: 2, Agent41: 1, Agent17: 1, Agent66: 1, Agent52: 1}"
1,78,0.6693524063785123,0,0,"{Agent73: 6, Agent45: 7, Agent35: 1, Agent94: 1}"
1,79,0.636984089256073,6,0,"{Agent39: 19, Agent32: 4, Agent70: 1, Agent80: 6, Agent55: 2, Agent93: 2, Agent64: 1, Agent87: 1, Agent78: 8, Agent83: 1, Agent42: 2, Agent99: 1, Agent0: 1}"
1,80,0.6592692485431516,0,0,"{Agent15: -1, Agent40: 1}"
1,81,0.6692329759280707,6,0,"{Agent56: 0, Agent11: 0, Agent86: 44, Agent46: 2, Agent55: 1, Agent23: 1, Agent77: 45, Agent13: 40, Agent47: 1, Agent1: 42, Agent82: 2, Agent52: 49, Agent59: 1, Agent80: 1, Agent49: 3, Agent96: 36, Agent73: 38, Agent39: 32, Agent38: 27, Agent87: 13, Agent18: 1, Agent63: 12, Agent2: 2, Agent5: 11, Agent51: 9, Agent27: 18, Agent95: 8, Agent32: 1}"
1,82,0.5162399699792217,10,0,"{Agent99: 976, Agent73: 1117, Agent13: 1755, Agent52: 1655, Agent59: 2059, Agent56: 1234, Agent44: 48, Agent90: 73, Agent60: 337, Agent51: 259, Agent5: 93, Agent70: 7, Agent81: 484, Agent63: 219, Agent92: 109, Agent87: 251, Agent71: 109, Agent3: 133, Agent45: 190, Agent49: 229, Agent0: 10, Agent58: 1, Agent25: 3, Agent47: 32, Agent31: 1, Agent62: 1, Agent26: 13, Agent7: 2, Agent79: 11, Agent29: 36, Agent84: 11, Agent27: 1, Agent39: 6, Agent96: 5, Agent20: 5, Agent98: 1, Agent57: 1, Agent94: 1}"
1,83,0.45651842009384996,8,0,"{Agent94: 184, Agent1: 267, Agent66: 2, Agent3: 2, Agent82: 1, Agent52: 258, Agent19: 204, Agent73: 272, Agent13: 258, Agent87: 223, Agent96: 78, Agent18: 106, Agent55: 14, Agent59: 15, Agent42: 3, Agent57: 2, Agent98: 1, Agent43: 1, Agent8: 1, Agent54: 1, Agent95: 5, Agent45: 5, Agent51: 1}"
1,84,0.5821133599417625,4,0,"{Agent18: 15, Agent4: 11, Agent55: 14, Agent13: 54, Agent75: 2, Agent96: 25, Agent31: -1, Agent33: 1, Agent73: 35, Agent92: 3, Agent94: 13, Agent2: 33, Agent82: 3, Agent87: 25, Agent68: 1, Agent52: 24, Agent1: 41, Agent80: 2, Agent19: 20, Agent83: 10, Agent12: 1, Agent95: 7, Agent56: 1, Agent27: 2, Agent99: 4, Agent59: 27, Agent71: 1, Agent45: 3, Agent39: 2, Agent86: 1, Agent46: 9, Agent11: 1}"
1,85,0.41025364852485086,0,0,"{Agent66: 2, Agent44: 2, Agent53: 2, Agent50: 1, Agent39: 1, Agent84: 1, Agent54: 2, Agent0: 3, Agent60: 2, Agent18: 1}"
1,86,0.6246514834031514,0,0,"{Agent32: -4, Agent33: 1, Agent96: 7, Agent25: 2, Agent39: 0, Agent78: 1, Agent58: 1, Agent16: 1}"
1,87,0.6397943860745469,3,0,"{Agent4: 0, Agent34: 2, Agent21: 2, Agent99: 2, Agent11: 2, Agent95: 0, Agent76: 1}"
1,88,0.6580155869706701,1,0,"{Agent4: 0, Agent11: 2}"
1,89,0.535920473412464,4,0,"{Agent45: 13, Agent10: 1, Agent94: 5, Agent96: 1, Agent73: 1}"
1,90,0.6799059492928483,0,0,"{Agent13: 26, Agent92: 10, Agent31: 1, Agent89: 11, Agent23: 1, Agent81: 1, Agent14: 2, Agent62: 0, Agent2: 10, Agent74: 8, Agent83: 9, Agent55: 1, Agent73: 15, Agent52: 8, Agent1: 15, Agent96: 5, Agent93: 7, Agent18: 4, Agent50: 1, Agent9: 2, Agent47: 3, Agent30: 4, Agent46: 4, Agent59: 4, Agent80: 4, Agent49: 4, Agent42: 10, Agent87: 4, Agent94: 7, Agent19: 7, Agent56: 3, Agent53: 3, Agent60: 3, Agent5: 3, Agent99: 2, Agent41: 3, Agent95: 3, Agent17: 1, Agent4: 1}"
1,91,0.5318780042982424,1,0,"{Agent59: 40, Agent0: 29, Agent73: 2, Agent25: 3, Agent63: 2, Agent58: 36, Agent13: 53, Agent61: 1, Agent24: 25, Agent1: 52, Agent94: 1, Agent2: 13, Agent82: 1, Agent87: 3, Agent84: 1, Agent4: 1, Agent68: 1, Agent52: 42, Agent80: 36, Agent96: 43, Agent46: 2, Agent30: 14, Agent95: 2, Agent56: 13, Agent5: 1, Agent60: 1, Agent99: 1, Agent39: 2, Agent45: 4, Agent37: 1, Agent18: 35, Agent47: 4, Agent77: 1, Agent54: 1}"
